,Name,Accessible_Len,N_Accessible_Len,Total_Len
0,Upper Mystic Lake,1.27707004547119,0.0,1.27707004547119
1,Boat Cove Creek,2.25294995307922,0.0,2.25294995307922
2,Scorton Creek,2.10815000534058,0.0,2.10815000534058
3,Concord River,4.7738868892192885,11.1224002838135,15.896287173032789
4,Shawsheen River,8.67044973373413,16.353099822998,25.02354955673213
5,Charles River,19.82303588092325,27.92827963829038,47.751315519213634
6,Muddy River,3.86119997501373,0.0,3.86119997501373
7,Herring River,11.086557209491717,0.0,11.086557209491717
8,Back River,2.56577697396278,0.25703901052475,2.82281598448753
9,Merrimack River,54.63976216316232,0.0,54.63976216316232
10,Powwow River,1.66076004505157,2.146231055259708,3.8069911003112784
11,Mystic River,4.96848011016846,0.0,4.96848011016846
12,Fore River/ Monatiquot,8.133200168609623,0.0,8.133200168609623
13,Stony Brook,4.240655474364756,0.0,4.240655474364756
14,Little Pond,0.158158004283905,0.0,0.158158004283905
15,Alewife Brook,4.15578997135162,0.0,4.15578997135162
16,Little River,3.084036022424703,0.0,3.084036022424703
17,Bound Brook,4.53833985328674,0.0,4.53833985328674
18,Straits Pond,1.03991997241974,0.0,1.03991997241974
19,Parker River,18.4192952029407,0.0,18.4192952029407
20,Bass River,2.2109889984130873,0.5126200020313261,2.723609000444413
21,Quivett Creek,2.51645994186401,0.0,2.51645994186401
22,Sesuit Creek,2.178885936737061,0.0,2.178885936737061
23,Bluefish River,1.16324996948242,0.0,1.16324996948242
24,Island Creek,1.2182799577713,0.0,1.2182799577713
25,Herring  Brook,1.2802699804306,0.0,1.2802699804306
26,Rock Harbor Creek,1.52211999893188,0.0,1.52211999893188
27,Chebacco Lake,0.386366993188858,0.0,0.386366993188858
28,Essex River,5.99338006973267,0.0,5.99338006973267
29,Indian Head River,4.91234004497528,0.0,4.91234004497528
30,South River,10.4628199338913,0.0,10.4628199338913
31,Spicket River,0.151003003120422,4.71299982070923,4.864002823829653
32,Mill River,5.684336066246029,7.89193987846375,13.576275944709778
33,Accord Brook,5.70435609668493,0.0,5.70435609668493
34,Broad Cove,0.558677017688751,0.0,0.558677017688751
35,Weir River,5.561538040637977,0.0,5.561538040637977
36,Fresh River,0.549533009529114,0.0,0.549533009529114
37,Fulling Mill Brook,1.08020997047424,0.0,1.08020997047424
38,Turkey Hill Run,0.433171004056931,0.0,0.433171004056931
39,Egypt River,1.9721200466156,0.0,1.9721200466156
40,Rowley River,3.9262900352478,0.0,3.9262900352478
41,Ipswich River,26.20316076278688,8.92450976371765,35.12767052650453
42,Furnace Brook,3.72173696756363,0.0,3.72173696756363
43,Halls Brook,0.319692999124527,1.0220400094986,1.341733008623127
44,Jones River,7.5984401702880895,0.0,7.5984401702880895
45,Second Brook,0.114183001220226,0.0,0.114183001220226
46,Smelt Brook,1.1520674582570791,0.78235399723053,1.9344214554876091
47,Bennett Brook,0.489069014787674,0.0,0.489069014787674
48,Chubb Creek,0.450468003749847,0.0,0.450468003749847
49,Sawmill Brook,1.848786056041722,0.0,1.848786056041722
50,Second Herring Brook,0.288538992404938,1.27943003177643,1.567969024181368
51,Third Herring Brook,4.012172102928161,1.31728005409241,5.329452157020571
52,Herring Brook,5.287794353440408,0.0,5.287794353440408
53,Forest River,3.10714995861054,0.0,3.10714995861054
54,North River,13.972137063741634,0.0,13.972137063741634
55,Saugus River,10.87667012214661,3.13909006118774,14.01576018333435
56,First Herring Brook,3.845512378960852,0.0,3.845512378960852
57,Tack Factory Pond,0.860123991966248,0.0,0.860123991966248
58,Satuit Brook,0.31165799498558,0.0,0.31165799498558
59,Furnace Pond,1.8476300239563,0.0,1.8476300239563
60,Billington Sea,1.2748099565506,0.0,1.2748099565506
61,Town Brook,2.809457018971444,0.0,2.809457018971444
62,Eel River,3.710407972335818,0.0,3.710407972335818
63,Little Herring Pond,1.03227996826172,0.0,1.03227996826172
64,Shingle Brook,0.251188993453979,0.0,0.251188993453979
65,Ox Pasture Brook,0.557527005672455,0.0,0.557527005672455
66,Whitmans Pond,1.6792230159044261,0.0,1.6792230159044261
67,Aberjona River,4.978879064321519,0.0,4.978879064321519
68,Chase Garden Creek,1.70976996421814,0.0,1.70976996421814
69,Whites Brook,1.88143002986908,0.0,1.88143002986908
70,Indian Brook,0.5316641889512544,0.0,0.5316641889512544
71,Beaver Dam Brook,3.42683005332946,0.0,3.42683005332946
72,Wellengsley Brook,0.441363006830215,0.0,0.441363006830215
73,Pamet River,2.01845002174377,0.0,2.01845002174377
74,Weymouth Back River,4.456633836030964,0.0,4.456633836030964
75,Tide Mill Brook,1.64108002185822,0.0,1.64108002185822
76,Mill Brook,1.5491519719362281,0.709288001060486,2.258439972996714
77,West Brook,1.01709997653961,0.0,1.01709997653961
78,Indian Head Brook,2.1002299785614,0.0,2.1002299785614
79,Rocky Run,0.333020001649857,0.0,0.333020001649857
80,Unnamed,0.8817270249128341,4.981189042329793,5.862916067242627
81,Great Pond,0.0,1.223488003015518,1.223488003015518
82,Farm River,0.0,3.18009996414185,3.18009996414185
83,Monatiquot River,0.0,0.958167016506195,0.958167016506195
84,Robinson Creek,0.654447019100189,0.0,0.654447019100189
85,Pudding Brook,1.015771009027958,2.1937301158905,3.2095011249184577
86,Lily Pond,0.388814985752106,0.0,0.388814985752106
87,Aaron River,1.73576998710632,0.0,1.73576998710632
88,Crooked Meadow River,0.992793023586273,0.0,0.992793023586273
89,Lake Quannapowitt,0.0,1.10839998722076,1.10839998722076
90,Macombers Creek,1.64100003242493,0.0,1.64100003242493
91,River Meadow Brook,0.0,11.0725002288818,11.0725002288818
92,Pawtucket Dam canals,0.0,4.366093039512636,4.366093039512636
93,Dow Brook Reservoir,0.0,0.5200591906905175,0.5200591906905175
94,Neponset River,5.17614984512329,7.4309401512146,12.60708999633789
95,Martins Pond,0.0,0.588248014450073,0.588248014450073
96,Martins Brook,0.0,4.5507698059082,4.5507698059082
